coin,score,tp,sl,hold,drop_min,drop_max,vol_z_max,vol_mult,vol_win,pnl,trades,winrate,max_dd,avg_ret,med_ret,coin_sym,symbol,id,market_cap,name,log_mcap,mcap_bin
0G,-0.0043811779558519,0.003,0.03,24,0.005,0.05,0.6,2.0,20,0.0117331740530433,59,0.9322033898305084,-0.0322287040177905,0.0002180991575732,0.0014999999999998,0g,0g,zero-gravity,170437776.0,0G,8.231565858565089,"[8, 9)"
MET,-0.005392713023721,0.015,0.015,4,0.005,0.05,0.6,2.0,20,0.0325968124319224,62,0.3387096774193548,-0.0759790509112871,0.0005808954766598,-0.0009425967774943,met,met,meteora,142260975.0,Meteora,8.153085780853248,"[8, 9)"
KAITO,-0.0063303161252005,0.015,0.01,24,0.005,0.05,0.6,2.0,20,0.0217358545918897,49,0.4489795918367347,-0.0561323414341806,0.0005139533960638,-0.0027033910482075,kaito,kaito,kaito,116866951.0,KAITO,8.067691713663164,"[8, 9)"
AERO,-0.010678763546932,0.015,0.015,8,0.005,0.05,0.6,2.0,20,0.0113368554881185,53,0.3396226415094339,-0.0440312380701013,0.0002903377801019,0.0004978772554161,aero,aero,aerodrome-finance,454524569.0,Aerodrome Finance,8.657557363669618,"[8, 9)"
IP,-0.0141262470651403,0.015,0.01,8,0.005,0.05,0.6,2.0,20,0.0189405377889178,65,0.3384615384615385,-0.0661335697081163,0.0003518693772736,-0.0004431303472571,ip,ip,story-2,884333821.0,Story,8.946616234754808,"[8, 9)"
STRK,-0.0349517956470704,0.015,0.01,8,0.005,0.05,0.6,2.0,20,0.0089444782651209,55,0.2909090909090909,-0.0877925478243827,0.0002177136788004,0.0006399910833705,strk,strk,starknet,427291259.0,Starknet,8.63072400864473,"[8, 9)"
RSR,-0.0354688058347054,0.015,0.006,8,0.005,0.05,0.6,2.0,20,-0.0178713830882175,26,0.2692307692307692,-0.0351948454929758,-0.0006505606715438,-0.0075,rsr,rsr,reserve-rights-token,151565338.0,Reserve Rights,8.18059989234801,"[8, 9)"
TURBO,-0.0795021937397787,0.01,0.006,24,0.005,0.05,0.6,2.0,20,-0.0480622163166974,54,0.4074074074074074,-0.0628799548461626,-0.0008809644885159,-0.0075,turbo,turbo,turbo,110638894.0,Turbo,8.043907825704853,"[8, 9)"
STABLE,-0.0888138142440174,0.015,0.02,8,0.005,0.05,0.6,2.0,20,-0.035915562389383,47,0.5319148936170213,-0.1057965037092686,-0.000648917923793,0.0134999999999999,stable,stable,stable-2,303278491.0,​​Stable,8.481841610537332,"[8, 9)"
MERL,-0.1198199318929381,0.01,0.015,32,0.005,0.05,0.6,2.0,20,-0.0747114345470342,62,0.6129032258064516,-0.0902169946918077,-0.0011774193548387,0.0085,merl,merl,merlin-chain,219662213.0,Merlin Chain,8.341755354612744,"[8, 9)"
FARTCOIN,-0.1838119794121539,0.015,0.03,24,0.005,0.05,0.6,2.0,20,-0.1134803268055294,64,0.609375,-0.140663305213249,-0.0016778054568595,0.0134999999999999,fartcoin,fartcoin,fartcoin,324539211.0,Fartcoin,8.511267175996649,"[8, 9)"
FOGO,-0.1950592203095804,0.015,0.006,4,0.005,0.05,0.6,2.0,20,-0.1260668267287047,81,0.2592592592592592,-0.1379847871617513,-0.0016202528087322,-0.0075,fogo,fogo,fogo,109441997.0,Fogo,8.039184009066899,"[8, 9)"
MON,-0.2077464397995178,0.015,0.02,16,0.005,0.05,0.6,2.0,20,-0.1332126737364515,73,0.5205479452054794,-0.1490675321261326,-0.0018154578877171,0.0134999999999999,mon,mon,monad,222978212.0,Monad,8.34826242865148,"[8, 9)"
